ym,census_mean,census_p95,occ_mean,occ_p95,edwin_mean,nedocs_mean,readi_mean,board_mean,arr_per_hr,awt_curr_min,visits,arr_per_day,gap_hours,days_observed,bed_med_min,icu_med_min
2021-03,20.99462365591398,31.0,52.486559139784944,77.5,0.597932123655914,53.0678629032258,3.541111559139785,7.048387096774194,5.713709677419355,302.24529569892474,4251,137.1290322580645,0,31,257.0,196.0
2021-04,22.240277777777777,32.0,55.60069444444444,80.0,0.67295,61.289625,3.7676618055555555,8.498611111111112,5.955555555555556,307.04027777777776,4286,142.93333333333334,0,30,282.0,202.0
2021-05,20.033602150537636,34.0,50.08400537634409,85.0,0.5407123655913979,50.73271505376344,3.469062768817204,6.637096774193548,6.387096774193548,294.37836021505376,4747,153.29032258064515,0,31,240.0,172.0
2021-06,23.720833333333335,40.0,59.302083333333336,100.0,0.7695826388888889,79.22347222222223,3.6890826388888893,10.67361111111111,5.627777777777778,448.66527777777776,4051,135.06666666666666,29,30,316.0,323.0
2021-07,24.561827956989248,37.0,61.40456989247312,92.5,0.771268817204301,69.07608870967742,3.8034486559139786,9.68010752688172,5.739247311827957,388.6404569892473,4270,137.74193548387098,0,31,315.0,284.0
2021-08,21.112903225806452,32.0,52.78225806451613,80.0,0.6273936827956988,51.93690860215053,3.4490510752688173,8.111559139784946,5.279569892473118,336.2970430107527,3929,126.70967741935483,0,31,314.0,182.5
2021-09,23.56388888888889,35.0,58.90972222222222,87.5,0.7064409722222222,60.990027777777776,3.7989593055555555,9.011111111111111,5.9625,337.84027777777777,4299,143.10000000000002,0,30,317.0,189.0
2021-10,23.482526881720432,35.0,58.70631720430107,87.5,0.6956178763440861,59.3676747311828,3.8546967741935485,8.435483870967742,6.118279569892473,321.5416666666667,4552,146.83870967741936,0,31,315.0,193.0
2021-11,23.816666666666666,35.0,59.541666666666664,87.5,0.7068345833333334,60.38572222222222,3.919911111111111,8.248611111111112,6.0777777777777775,329.3020833333333,4372,145.86666666666667,0,30,296.0,168.0
2021-12,20.798387096774192,32.0,51.99596774193548,80.0,0.5942552419354838,49.53927419354839,3.5752880376344085,6.94758064516129,5.856182795698925,287.0369623655914,4359,140.5483870967742,0,31,277.0,177.0
2022-01,21.251344086021504,33.0,53.12836021505376,82.5,0.6217180107526882,53.93365591397849,3.6952056451612907,7.485215053763441,6.686827956989247,291.90524193548384,4972,160.48387096774192,0,31,272.0,182.0
2022-02,22.06845238095238,35.0,55.17113095238095,87.5,0.6346232142857142,56.693065476190476,3.7619354166666663,7.529761904761905,6.625,288.8936011904762,4453,159.0,0,28,266.0,193.0
2022-03,22.708333333333332,35.0,56.770833333333336,87.5,0.6536014784946237,54.60466397849463,3.86371814516129,7.419354838709677,6.25,287.0819892473118,4649,150.0,0,31,271.5,189.0
2022-04,26.49861111111111,45.049999999999955,66.24652777777777,112.62499999999989,0.775523611111111,66.71308333333333,4.4995030555555555,8.480555555555556,8.879166666666666,341.9604166666667,6403,213.1,0,30,270.0,182.5
2022-05,30.758064516129032,66.85000000000002,76.89516129032258,167.12500000000006,0.8675823924731183,84.63899193548387,5.446816801075269,9.981182795698924,15.048387096774194,381.5235215053763,11193,361.16129032258067,0,31,304.0,233.0
2022-06,25.56111111111111,38.0,63.90277777777778,95.0,0.8941166666666667,74.33159722222223,4.221134305555555,11.555555555555555,7.215277777777778,394.04305555555555,5190,173.16666666666666,0,30,300.0,288.5
2022-07,23.5,36.0,58.75,90.0,0.7289573924731182,66.94267473118279,3.9983559139784948,9.154569892473118,6.80241935483871,325.3333333333333,5058,163.25806451612902,0,31,288.5,237.0
2022-08,22.276881720430108,34.0,55.69220430107527,85.0,0.6471481182795699,56.13689516129032,3.9460556451612905,8.033602150537634,7.076612903225806,304.005376344086,5269,169.83870967741933,0,31,267.0,231.0
2022-09,26.495833333333334,42.0,66.23958333333333,105.0,0.87459,73.0916111111111,4.529466527777778,10.394444444444444,8.591666666666667,344.77916666666664,6183,206.2,0,30,301.0,212.5
2022-10,29.125,46.0,72.8125,115.0,1.0365801075268817,81.54853494623656,4.872868413978495,12.283602150537634,8.758064516129032,386.9657258064516,6513,210.19354838709677,29,31,360.5,231.0
2022-11,25.488888888888887,39.0,63.72222222222222,97.5,0.8418730555555556,75.39809722222222,4.314112638888888,10.352777777777778,7.1819444444444445,350.98125,5172,172.36666666666667,0,30,292.5,272.0
2022-12,24.024193548387096,37.0,60.060483870967744,92.5,0.7527595430107527,67.94037634408602,4.051727284946236,9.311827956989248,6.870967741935484,332.18413978494624,5115,164.90322580645162,0,31,291.0,232.0
2023-01,27.370967741935484,41.85000000000002,68.4274193548387,104.62500000000006,0.9359151881720431,85.51815860215054,4.6536514784946235,11.602150537634408,8.36021505376344,397.2116935483871,6224,200.64516129032256,0,31,319.5,341.0
2023-02,31.324404761904763,51.44999999999993,78.3110119047619,128.62499999999983,1.9333791666666666,101.17818452380953,4.811177083333333,15.625,7.370535714285714,483.5967261904762,4950,176.89285714285714,0,28,409.0,326.0
2023-03,31.543010752688172,47.0,78.85752688172043,117.5,1.4557323924731185,97.92153225806452,4.738219758064516,16.508064516129032,6.932795698924731,538.7083333333334,5159,166.38709677419354,0,31,540.0,296.0
2023-04,27.61111111111111,42.0,69.02777777777777,105.0,1.028877361111111,79.37184722222223,4.391544861111111,12.456944444444444,7.143055555555556,431.3833333333333,5149,171.43333333333334,0,30,385.5,193.0
2023-05,46.935483870967744,65.0,117.33870967741936,162.5,11.61668817204301,154.14797043010753,6.470062231182796,27.54032258064516,8.151881720430108,758.4086021505376,6054,195.6451612903226,0,31,1050.0,328.0
2023-06,40.334722222222226,54.0,100.83680555555556,135.0,2.274923333333333,145.73419444444443,5.953416666666667,20.783333333333335,8.276388888888889,748.9354166666667,5965,198.63333333333333,0,30,535.0,297.0
2023-07,37.88709677419355,52.0,94.71774193548387,130.0,2.5196744623655913,120.98462365591398,5.469729032258065,20.353494623655912,7.428763440860215,602.7741935483871,5524,178.29032258064515,0,31,681.0,266.0
2023-08,30.24462365591398,43.0,75.61155913978494,107.5,1.3370420698924732,89.93797043010754,4.731772580645162,14.384408602150538,7.026881720430108,450.1317204301075,5227,168.6451612903226,0,31,439.5,233.0
2023-09,29.88888888888889,47.0,74.72222222222223,117.5,1.316760138888889,81.15923611111111,4.897234583333333,12.66388888888889,7.9,417.0111111111111,5694,189.60000000000002,0,30,361.0,190.5
2023-10,33.494623655913976,48.0,83.73655913978494,120.0,1.6361202956989247,95.0052553763441,5.189157661290323,16.306451612903224,7.858870967741935,513.9153225806451,5846,188.61290322580643,0,31,589.5,219.0
2023-11,29.141666666666666,45.0,72.85416666666667,112.5,1.4932901388888888,83.124375,4.625048472222223,13.965277777777779,7.405555555555556,461.49444444444447,5328,177.73333333333335,0,30,505.0,221.0
2023-12,33.61693548387097,53.0,84.04233870967742,132.5,2.852855510752688,106.14805107526881,5.123714112903226,17.06048387096774,7.521505376344086,523.2755376344086,5597,180.51612903225805,0,31,589.0,242.0
2024-01,39.774193548387096,56.0,99.43548387096774,140.0,4.451402284946236,131.97479838709677,5.690408870967742,22.756720430107528,7.787634408602151,653.049059139785,5789,186.90322580645162,0,31,900.0,248.5
2024-02,32.06609195402299,48.0,80.16522988505747,120.0,1.4243689655172413,100.81682471264367,5.063762212643678,14.882183908045977,8.137931034482758,478.66954022988506,5670,195.3103448275862,0,29,478.5,324.0
2024-03,39.3494623655914,54.0,98.3736559139785,135.0,5.282215188172043,130.90662634408602,5.544629301075269,23.629032258064516,6.918010752688172,681.9112903225806,5151,166.03225806451613,0,31,964.0,302.5
2024-04,33.704166666666666,48.0,84.26041666666667,120.0,2.6733693055555556,97.6730138888889,5.014593055555555,18.043055555555554,7.1097222222222225,548.4381944444444,5116,170.63333333333333,0,30,756.0,194.0
2024-05,34.48521505376344,52.0,86.21303763440861,130.0,3.8648280913978494,113.55252688172044,5.053011693548387,19.90456989247312,6.946236559139785,663.3239247311828,5164,166.70967741935485,0,31,744.5,251.0
